"Customer Name","Location Name","Date","Program Name","Class Name","Component Type","Component ID","Component Name","Component Description","Performance Result Type","Rep Scheme","Fully Formatted Result","From Weightlifting Total","From Variable Set","Is Rx","Is Rx Plus","Is Personal Record","Personal Record Description","Comment"
"CrossFit Yarmouth",,10/18/2023,,,"Weightlifting",22,"Back Squat",,"Weight",,"2 x 5 @ 215 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 1 sets vs. 1 on 04/13/2023",
"CrossFit Yarmouth",,04/22/2024,,,"Weightlifting",22,"Back Squat",,"Weight",,"1 x 3 @ 235 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 20 lbs vs. 215 on 03/21/2022","Part of lighter strength "
"CrossFit Yarmouth","CrossFit Yarmouth",04/22/2024,"CrossFit","CrossFit: 12:00 PM","Weightlifting",22,"Back Squat",,"Weight","3-3-3-3-AMRAP","5 x 3 @ 205 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",07/29/2024,"CrossFit","CrossFit: 5:30 PM","Weightlifting",22,"Back Squat",,"Weight","5-3-1-5-3-1","1 x 2 @ 235 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,"Part of lighter strength"
"CrossFit Yarmouth","CrossFit Yarmouth",08/13/2024,"CrossFit","CrossFit: 12:00 PM","Weightlifting",22,"Back Squat",,"Weight","10-10-10","1 x 10 @ 185 lbs",FALSE,FALSE,FALSE,FALSE,TRUE,"PR by 20 lbs vs. 165 on 07/06/2020","Felt good despite hiking. Maybe 190"
"CrossFit Yarmouth","CrossFit Yarmouth",09/23/2024,"CrossFit","HOME WOD","Weightlifting",22,"Back Squat",,"Weight",,"0 x 0 @ 0 lbs",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",01/10/2022,"CrossFit","HOME WOD","Metcon",23910317,"Metcon","AMRAP 12:
7 box jumps (30/24 in)
14 KB swings (70/53)","AMRAP - Rounds and Reps",,"9 + 0",FALSE,FALSE,FALSE,FALSE,FALSE,,"#53 , step ups with #10 dumbbell "
"CrossFit Yarmouth","CrossFit Yarmouth",01/12/2022,"CrossFit","HOME WOD","Metcon",23910407,"Metcon","3 Rounds:

Tabata of Bar Facing Burpees (20 seconds on, 10 seconds off x 8)

rest 1 minute

EMOM for 5

2 Power Cleans (155/105)","AMRAP - Reps",,"11 Reps",FALSE,FALSE,FALSE,FALSE,FALSE,,"#115 squat cleans. Rowed 2k plus push ups and pull ups instead of burpees "
"CrossFit Yarmouth","CrossFit Yarmouth",01/27/2022,"CrossFit","CrossFit: 5:30 PM","Metcon",24105952,"Metcon","100 double-unders
21 front squats (115/75 lb)
21 push presses (115/75 lb)
100 double-unders
15 front squats
15 push presses
100 double-unders
9 front squats
9 push presses","Time",,"9:42",FALSE,FALSE,FALSE,FALSE,FALSE,,"75#"
"CrossFit Yarmouth","CrossFit Yarmouth",01/31/2022,"CrossFit","HOME WOD","Metcon",24171817,"Metcon","For time:
50 wall balls (20/24)
50 burpees
50 push ups
50 toes to bar
50 calories
50 sit ups","Time",,"22:47",FALSE,FALSE,FALSE,FALSE,FALSE,,"Dumbbell thrusters, knee raises, rowing "
"CrossFit Yarmouth","CrossFit Yarmouth",02/01/2022,"CrossFit","CrossFit: 4:30 PM","Metcon",24172172,"Metcon","For reps:
1:00 squat cleans (115/165 lb)
Rest 3:00
1:00 squat cleans (125/185 lb)
Rest 3:00
1:00 squat cleans (135/205 lb)
Rest 3:00
1:00 squat cleans (115/165 lb)
Rest 3:00
1:00 squat cleans (125/185 lb)
Rest 3:00
1:00 squat cleans (135/205 lb)","AMRAP - Reps",,"32 Reps",FALSE,FALSE,FALSE,FALSE,FALSE,,"65 to 95 focusing on form"
"CrossFit Yarmouth","CrossFit Yarmouth",02/02/2022,"CrossFit","HOME WOD","Metcon",24172549,"Metcon","For time:
400-m row or ski
Rest 1:00
800-m row or ski
Rest 2:00
1,200-m row or ski
Rest 3:00
1,600-m row or ski","Time",,"23:19",FALSE,FALSE,TRUE,FALSE,FALSE,,"Row at home "
"CrossFit Yarmouth","CrossFit Yarmouth",02/07/2022,"CrossFit","CrossFit: 9:00 AM","Metcon",24260201,"Metcon","3 rounds for time:
15 KB swings (53/35 lb) (American style)
20 box jumps (24/20 in)
250-m row","Time",,"9:15",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",03/01/2022,"CrossFit","HOME WOD","Metcon",24509810,"Metcon","AMRAP 25:
20 push-ups
30 sit-ups
28/40-cal. row","AMRAP - Rounds and Reps",,"4 + 3",FALSE,FALSE,FALSE,FALSE,FALSE,,
"CrossFit Yarmouth","CrossFit Yarmouth",03/02/2022,"CrossFit","HOME WOD","Metcon",24509846,"Metcon","AMRAP 10:
7/10-cal. Echo bike
10 strict handstand push-ups","AMRAP - Rounds and Reps",,"5 + 10",FALSE,FALSE,FALSE,FALSE,FALSE,,"Pike PU from box"
"CrossFit Yarmouth","CrossFit Yarmouth",03/07/2022,"CrossFit","CrossFit: 9:00 AM","Metcon",24567048,"CrossFit Games Open 22.2 Scaled (Ages 16-54)","1-2-3-4-5-6-7-8-9-10-9-8-7-6-5-4-3-2-1 reps for time of:
Deadlifts
Bar-facing burpees
Time cap: 10 minutes

F: 95-lb Barbell, may step over on burpees
M: 135-lb Barbell, may step over on burpees","Time",,"10:00",FALSE,FALSE,FALSE,FALSE,FALSE,,"90 reps @ 175"
